Time,Епіцентр К
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.56
2004-10-01,0.0
2004-11-01,0.42
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.36
2005-04-01,0.2
2005-05-01,0.56
2005-06-01,0.72
2005-07-01,1.0
2005-08-01,1.8200000000000003
2005-09-01,0.64
2005-10-01,0.64
2005-11-01,0.64
2005-12-01,0.56
2006-01-01,1.1
2006-02-01,1.1
2006-03-01,0.42
2006-04-01,0.42
2006-05-01,1.3199999999999998
2006-06-01,1.44
2006-07-01,1.8200000000000003
2006-08-01,1.44
2006-09-01,1.56
2006-10-01,1.9600000000000002
2006-11-01,1.1
2006-12-01,1.3199999999999998
2007-01-01,1.1
2007-02-01,1.3199999999999998
2007-03-01,1.3199999999999998
2007-04-01,1.56
2007-05-01,2.1
2007-06-01,2.72
2007-07-01,4.0
2007-08-01,3.2399999999999998
2007-09-01,2.1
2007-10-01,1.9600000000000002
2007-11-01,2.56
2007-12-01,1.9600000000000002
2008-01-01,1.8200000000000003
2008-02-01,1.9600000000000002
2008-03-01,1.8200000000000003
2008-04-01,2.1
2008-05-01,2.56
2008-06-01,2.4
2008-07-01,3.2399999999999998
2008-08-01,3.42
2008-09-01,2.4
2008-10-01,1.56
2008-11-01,1.9600000000000002
2008-12-01,1.9600000000000002
2009-01-01,1.44
2009-02-01,1.56
2009-03-01,1.44
2009-04-01,1.8200000000000003
2009-05-01,1.9600000000000002
2009-06-01,2.1
2009-07-01,2.4
2009-08-01,2.56
2009-09-01,2.1
2009-10-01,2.1
2009-11-01,1.8200000000000003
2009-12-01,3.06
2010-01-01,1.56
2010-02-01,1.3199999999999998
2010-03-01,1.8200000000000003
2010-04-01,2.1
2010-05-01,2.56
2010-06-01,4.2
2010-07-01,4.0
2010-08-01,4.0
2010-09-01,2.56
2010-10-01,2.1
2010-11-01,2.72
2010-12-01,2.56
2011-01-01,1.56
2011-02-01,1.44
2011-03-01,1.56
2011-04-01,2.56
2011-05-01,2.72
2011-06-01,3.06
2011-07-01,3.2399999999999998
2011-08-01,4.0
2011-09-01,4.84
2011-10-01,2.56
2011-11-01,2.72
2011-12-01,4.0
2012-01-01,2.56
2012-02-01,1.9600000000000002
2012-03-01,2.4
2012-04-01,2.4
2012-05-01,2.72
2012-06-01,3.2399999999999998
2012-07-01,3.8000000000000003
2012-08-01,3.42
2012-09-01,2.4
2012-10-01,2.56
2012-11-01,2.72
2012-12-01,4.2
2013-01-01,2.4
2013-02-01,1.9600000000000002
2013-03-01,2.4
2013-04-01,4.62
2013-05-01,5.06
2013-06-01,5.06
2013-07-01,5.06
2013-08-01,4.84
2013-09-01,3.8000000000000003
2013-10-01,4.0
2013-11-01,4.0
2013-12-01,4.84
2014-01-01,3.06
2014-02-01,2.72
2014-03-01,2.72
2014-04-01,4.0
2014-05-01,4.62
2014-06-01,4.62
2014-07-01,4.84
2014-08-01,5.06
2014-09-01,4.84
2014-10-01,4.0
2014-11-01,4.62
2014-12-01,6.5
2015-01-01,3.06
2015-02-01,3.2399999999999998
2015-03-01,2.56
2015-04-01,2.56
2015-05-01,3.2399999999999998
2015-06-01,4.0
2015-07-01,4.84
2015-08-01,5.52
2015-09-01,3.8000000000000003
2015-10-01,3.8000000000000003
2015-11-01,4.62
2015-12-01,6.76
2016-01-01,2.4
2016-02-01,2.1
2016-03-01,2.56
2016-04-01,3.06
2016-05-01,3.2399999999999998
2016-06-01,4.62
2016-07-01,4.62
2016-08-01,4.84
2016-09-01,3.2399999999999998
2016-10-01,3.42
2016-11-01,3.2399999999999998
2016-12-01,4.84
2017-01-01,2.72
2017-02-01,2.4
2017-03-01,2.56
2017-04-01,3.06
2017-05-01,3.8000000000000003
2017-06-01,5.76
2017-07-01,5.06
2017-08-01,7.840000000000001
2017-09-01,4.2
2017-10-01,4.84
2017-11-01,6.5
2017-12-01,8.120000000000001
2018-01-01,4.84
2018-02-01,3.2399999999999998
2018-03-01,4.0
2018-04-01,4.62
2018-05-01,5.76
2018-06-01,6.76
2018-07-01,7.840000000000001
2018-08-01,9.299999999999999
2018-09-01,5.52
2018-10-01,7.0200000000000005
2018-11-01,8.7
2018-12-01,9.92
2019-01-01,5.76
2019-02-01,5.52
2019-03-01,6.76
2019-04-01,7.840000000000001
2019-05-01,8.7
2019-06-01,11.22
2019-07-01,10.56
2019-08-01,14.82
2019-09-01,9.299999999999999
2019-10-01,9.299999999999999
2019-11-01,14.44
2019-12-01,16.400000000000002
2020-01-01,19.36
2020-02-01,16.0
2020-03-01,41.6
2020-04-01,54.76
2020-05-01,57.76
2020-06-01,51.12
2020-07-01,49.0
2020-08-01,57.0
2020-09-01,43.56
2020-10-01,43.56
2020-11-01,100.0
2020-12-01,84.64
2021-01-01,95.06
2021-02-01,52.559999999999995
2021-03-01,54.76
2021-04-01,73.96
2021-05-01,57.76
2021-06-01,68.06
2021-07-01,70.56
2021-08-01,76.56
2021-09-01,57.0
2021-10-01,54.76
2021-11-01,68.06
2021-12-01,81.0
2022-01-01,60.84
2022-02-01,36.0
2022-03-01,20.7
2022-04-01,30.800000000000004
2022-05-01,51.839999999999996
2022-06-01,70.56
2022-07-01,73.96
2022-08-01,77.44
2022-09-01,64.0
2022-10-01,58.52
2022-11-01,78.32000000000001
2022-12-01,73.96
2023-01-01,46.24
2023-02-01,36.6
2023-03-01,46.24
2023-04-01,49.699999999999996
2023-05-01,57.0
2023-06-01,64.0
2023-07-01,68.06
2023-08-01,76.56
2023-09-01,61.620000000000005
2023-10-01,64.0
2023-11-01,80.10000000000001
2023-12-01,77.44
2024-01-01,45.56
2024-02-01,49.0
2024-03-01,51.12
2024-04-01,60.84
2024-05-01,54.76
2024-06-01,70.56
2024-07-01,84.64
2024-08-01,70.56
2024-09-01,60.84
2024-10-01,52.559999999999995
2024-11-01,57.76
2024-12-01,54.019999999999996
2025-01-01,43.56
2025-02-01,40.96
2025-03-01,46.24
2025-04-01,54.76
2025-05-01,54.76
2025-06-01,51.12
2025-07-01,60.84
2025-08-01,64.0
2025-09-01,52.559999999999995
2025-10-01,54.76
2025-11-01,66.42
2025-12-01,64.0
2026-01-01,49.699999999999996
2026-02-01,37.82
2026-03-01,49.0
